Column|suffix|Analysis_Column|OriginalColumn|Format|QuestionText|dtcode
q10ROW2_Total_europe|_europe|q10ROW2_hidden20|q10ROW2_Total|CURRENCY|EUROPE: Insurance companies - TOTAL|20_14
q103_1_europe|_europe|q103_121|q103_1|CURRENCY|EUROPE: Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|20_15
q103_2_europe|_europe|q103_222|q103_2|CURRENCY|EUROPE: Sovereign wealth funds - Separate accounts investing directly into real estate|20_16
q103_3_europe|_europe|q103_323|q103_3|CURRENCY|EUROPE: Sovereign wealth funds - Separate accounts investing into indirect vehicles|20_17
q103_4_europe|_europe|q103_424|q103_4|CURRENCY|EUROPE: Sovereign wealth funds - Joint ventures and club deals|20_18
q103_5_europe|_europe|q103_525|q103_5|CURRENCY|EUROPE: Sovereign wealth funds - Funds of funds|20_19
q103_6_europe|_europe|q103_626|q103_6|CURRENCY|EUROPE: Sovereign wealth funds - Non-listed debt products|20_20
q10ROW3_Total_europe|_europe|q10ROW3_hidden27|q10ROW3_Total|CURRENCY|EUROPE: Sovereign wealth funds - TOTAL|20_21
q104_1_europe|_europe|q104_128|q104_1|CURRENCY|EUROPE: Government institutions - Non-listed/ commingled real estate funds/private REITs|20_22
q104_2_europe|_europe|q104_229|q104_2|CURRENCY|EUROPE: Government institutions - Separate accounts investing directly into real estate|20_23
q104_3_europe|_europe|q104_330|q104_3|CURRENCY|EUROPE: Government institutions - Separate accounts investing into indirect vehicles|20_24
q104_4_europe|_europe|q104_431|q104_4|CURRENCY|EUROPE: Government institutions - Joint ventures and club deals|20_25
q104_5_europe|_europe|q104_532|q104_5|CURRENCY|EUROPE: Government institutions - Funds of funds|20_26
q104_6_europe|_europe|q104_633|q104_6|CURRENCY|EUROPE: Government institutions - Non-listed debt products|20_27
q10ROW4_Total_europe|_europe|q10ROW4_hidden34|q10ROW4_Total|CURRENCY|EUROPE: Government institutions - TOTAL|20_28
q105_1_europe|_europe|q105_135|q105_1|CURRENCY|EUROPE: Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|20_29
q105_2_europe|_europe|q105_236|q105_2|CURRENCY|EUROPE: Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|20_30
q105_3_europe|_europe|q105_337|q105_3|CURRENCY|EUROPE: Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|20_31
q105_4_europe|_europe|q105_438|q105_4|CURRENCY|EUROPE: Charities, foundations, non-profit organisations - Joint ventures and club deals|20_32
q105_5_europe|_europe|q105_539|q105_5|CURRENCY|EUROPE: Charities, foundations, non-profit organisations - Funds of funds|20_33
q105_6_europe|_europe|q105_640|q105_6|CURRENCY|EUROPE: Charities, foundations, non-profit organisations - Non-listed debt products|20_34
q10ROW5_Total_europe|_europe|q10ROW5_hidden41|q10ROW5_Total|CURRENCY|EUROPE: Charities, foundations, non-profit organisations - TOTAL|20_35
q106_1_europe|_europe|q106_142|q106_1|CURRENCY|EUROPE: Funds of funds - Non-listed/ commingled real estate funds/private REITs|20_36
q106_2_europe|_europe|q106_243|q106_2|CURRENCY|EUROPE: Funds of funds - Separate accounts investing directly into real estate|20_37
q106_3_europe|_europe|q106_344|q106_3|CURRENCY|EUROPE: Funds of funds - Separate accounts investing into indirect vehicles|20_38
q106_4_europe|_europe|q106_445|q106_4|CURRENCY|EUROPE: Funds of funds - Joint ventures and club deals|20_39
q106_5_europe|_europe|q106_546|q106_5|CURRENCY|EUROPE: Funds of funds - Funds of funds|20_40
q106_6_europe|_europe|q106_647|q106_6|CURRENCY|EUROPE: Funds of funds - Non-listed debt products|20_41
q10ROW6_Total_europe|_europe|q10ROW6_hidden48|q10ROW6_Total|CURRENCY|EUROPE: Funds of funds - TOTAL|20_42
q107_1_europe|_europe|q107_149|q107_1|CURRENCY|EUROPE: High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|20_43
q107_2_europe|_europe|q107_250|q107_2|CURRENCY|EUROPE: High net worth individuals /Family offices - Separate accounts investing directly into real estate|20_44
q107_3_europe|_europe|q107_351|q107_3|CURRENCY|EUROPE: High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|20_45
q107_4_europe|_europe|q107_452|q107_4|CURRENCY|EUROPE: High net worth individuals /Family offices - Joint ventures and club deals|20_46
q107_5_europe|_europe|q107_553|q107_5|CURRENCY|EUROPE: High net worth individuals /Family offices - Funds of funds|20_47
q107_6_europe|_europe|q107_654|q107_6|CURRENCY|EUROPE: High net worth individuals /Family offices - Non-listed debt products|20_48
q10ROW7_Total_europe|_europe|q10ROW7_hidden55|q10ROW7_Total|CURRENCY|EUROPE: High net worth individuals /Family offices - TOTAL|20_49
q10other_europe|_europe|q10other56|q10other|TEXT|EUROPE: Other investor type (Other)|20_50
q108_1_europe|_europe|q108_157|q108_1|CURRENCY|EUROPE: Other - Non-listed/ commingled real estate funds/private REITs|20_51
q108_2_europe|_europe|q108_258|q108_2|CURRENCY|EUROPE: Other - Separate accounts investing directly into real estate|20_52
q108_3_europe|_europe|q108_359|q108_3|CURRENCY|EUROPE: Other - Separate accounts investing into indirect vehicles|20_53
q108_4_europe|_europe|q108_460|q108_4|CURRENCY|EUROPE: Other - Joint ventures and club deals|20_54
q108_5_europe|_europe|q108_561|q108_5|CURRENCY|EUROPE: Other - Funds of funds|20_55
q108_6_europe|_europe|q108_662|q108_6|CURRENCY|EUROPE: Other - Non-listed debt products|20_56
q10ROW8_Total_europe|_europe|q10ROW8_hidden63|q10ROW8_Total|CURRENCY|EUROPE: Other - TOTAL|20_57
q10COL1_Total_europe|_europe|q10COL1_hidden64|q10COL1_Total|CURRENCY|EUROPE TOTAL - Non-listed/ commingled real estate funds/private REITs|20_58
q10COL2_Total_europe|_europe|q10COL2_hidden65|q10COL2_Total|CURRENCY|EUROPE TOTAL - Separate accounts investing directly into real estate|20_59
q10COL3_Total_europe|_europe|q10COL3_hidden66|q10COL3_Total|CURRENCY|EUROPE TOTAL - Separate accounts investing into indirect vehicles|20_60
q10COL4_Total_europe|_europe|q10COL4_hidden67|q10COL4_Total|CURRENCY|EUROPE TOTAL - Joint ventures and club deals|20_61
q10COL5_Total_europe|_europe|q10COL5_hidden68|q10COL5_Total|CURRENCY|EUROPE TOTAL - Funds of funds|20_62
q10COL6_Total_europe|_europe|q10COL6_hidden69|q10COL6_Total|CURRENCY|EUROPE TOTAL - Non-listed debt products|20_63
q10GRANDTotal_europe|_europe|q10GRANDTotal_hidden70|q10GRANDTotal|CURRENCY|EUROPE TOTAL Capital Raised in 2020 for your European strategy by investor type|20_64
_europe|_europe||||For your European strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by investor domicile (million)?|21
q111_1_europe|_europe|q111_171|q111_1|CURRENCY|EUROPE: Asia Pacific - Non-listed/ commingled real estate funds/private REITs|21_1
q111_2_europe|_europe|q111_272|q111_2|CURRENCY|EUROPE: Asia Pacific - Separate accounts investing directly into real estate|21_2
q111_3_europe|_europe|q111_373|q111_3|CURRENCY|EUROPE: Asia Pacific - Separate accounts investing into indirect vehicles|21_3
q111_4_europe|_europe|q111_474|q111_4|CURRENCY|EUROPE: Asia Pacific - Joint ventures and club deals|21_4
q111_5_europe|_europe|q111_575|q111_5|CURRENCY|EUROPE: Asia Pacific - Funds of funds|21_5
q111_6_europe|_europe|q111_676|q111_6|CURRENCY|EUROPE: Asia Pacific - Non-listed debt products|21_6
q11ROW1_Total_europe|_europe|q11ROW1_hidden77|q11ROW1_Total|CURRENCY|EUROPE: Asia Pacific - TOTAL|21_7
q112_1_europe|_europe|q112_178|q112_1|CURRENCY|EUROPE: Europe - Non-listed/ commingled real estate funds/private REITs|21_8
q112_2_europe|_europe|q112_279|q112_2|CURRENCY|EUROPE: Europe - Separate accounts investing directly into real estate|21_9
q112_3_europe|_europe|q112_380|q112_3|CURRENCY|EUROPE: Europe - Separate accounts investing into indirect vehicles|21_10
q112_4_europe|_europe|q112_481|q112_4|CURRENCY|EUROPE: Europe - Joint ventures and club deals|21_11
q112_5_europe|_europe|q112_582|q112_5|CURRENCY|EUROPE: Europe - Funds of funds|21_12
q112_6_europe|_europe|q112_683|q112_6|CURRENCY|EUROPE: Europe - Non-listed debt products|21_13
q11ROW2_Total_europe|_europe|q11ROW2_hidden84|q11ROW2_Total|CURRENCY|EUROPE: Europe - TOTAL|21_14
q113_1_europe|_europe|q113_185|q113_1|CURRENCY|EUROPE: North America - Non-listed/ commingled real estate funds/private REITs|21_15
q113_2_europe|_europe|q113_286|q113_2|CURRENCY|EUROPE: North America - Separate accounts investing directly into real estate|21_16
q113_3_europe|_europe|q113_387|q113_3|CURRENCY|EUROPE: North America - Separate accounts investing into indirect vehicles|21_17
q113_4_europe|_europe|q113_488|q113_4|CURRENCY|EUROPE: North America - Joint ventures and club deals|21_18
q113_5_europe|_europe|q113_589|q113_5|CURRENCY|EUROPE: North America - Funds of funds|21_19
q113_6_europe|_europe|q113_690|q113_6|CURRENCY|EUROPE: North America - Non-listed debt products|21_20
q11ROW3_Total_europe|_europe|q11ROW3_hidden91|q11ROW3_Total|CURRENCY|EUROPE: North America - TOTAL|21_21
q114_1_europe|_europe|q114_192|q114_1|CURRENCY|EUROPE: South America - Non-listed/ commingled real estate funds/private REITs|21_22
q114_2_europe|_europe|q114_293|q114_2|CURRENCY|EUROPE: South America - Separate accounts investing directly into real estate|21_23
q114_3_europe|_europe|q114_394|q114_3|CURRENCY|EUROPE: South America - Separate accounts investing into indirect vehicles|21_24
q114_4_europe|_europe|q114_495|q114_4|CURRENCY|EUROPE: South America - Joint ventures and club deals|21_25
q114_5_europe|_europe|q114_596|q114_5|CURRENCY|EUROPE: South America - Funds of funds|21_26
q114_6_europe|_europe|q114_697|q114_6|CURRENCY|EUROPE: South America - Non-listed debt products|21_27
q11ROW4_Total_europe|_europe|q11ROW4_hidden98|q11ROW4_Total|CURRENCY|EUROPE: South America - TOTAL|21_28
q115_1_europe|_europe|q115_199|q115_1|CURRENCY|EUROPE: Africa - Non-listed/ commingled real estate funds/private REITs|21_29
q115_2_europe|_europe|q115_2100|q115_2|CURRENCY|EUROPE: Africa - Separate accounts investing directly into real estate|21_30
q115_3_europe|_europe|q115_3101|q115_3|CURRENCY|EUROPE: Africa - Separate accounts investing into indirect vehicles|21_31
q115_4_europe|_europe|q115_4102|q115_4|CURRENCY|EUROPE: Africa - Joint ventures and club deals|21_32
q115_5_europe|_europe|q115_5103|q115_5|CURRENCY|EUROPE: Africa - Funds of funds|21_33
q115_6_europe|_europe|q115_6104|q115_6|CURRENCY|EUROPE: Africa - Non-listed debt products|21_34
q11ROW5_Total_europe|_europe|q11ROW5_hidden105|q11ROW5_Total|CURRENCY|EUROPE: Africa - TOTAL|21_35
q11COL1_Total_europe|_europe|q11COL1_hidden106|q11COL1_Total|CURRENCY|EUROPE: TOTAL - Non-listed/ commingled real estate funds/private REITs|21_36
q11COL2_Total_europe|_europe|q11COL2_hidden107|q11COL2_Total|CURRENCY|EUROPE: TOTAL - Separate accounts investing directly into real estate|21_37
q11COL3_Total_europe|_europe|q11COL3_hidden108|q11COL3_Total|CURRENCY|EUROPE: TOTAL - Separate accounts investing into indirect vehicles|21_38
q11COL4_Total_europe|_europe|q11COL4_hidden109|q11COL4_Total|CURRENCY|EUROPE: TOTAL - Joint ventures and club deals|21_39
q11COL5_Total_europe|_europe|q11COL5_hidden110|q11COL5_Total|CURRENCY|EUROPE: TOTAL - Funds of funds|21_40
q11COL6_Total_europe|_europe|q11COL6_hidden111|q11COL6_Total|CURRENCY|EUROPE: TOTAL - Non-listed debt products|21_41
q11GRANDTotal_europe|_europe|q11GRANDTotal_hidden112|q11GRANDTotal|CURRENCY|EUROPE TOTAL Capital Raised in 2020 for your European strategy by investor domicile|21_42
q12_europe|_europe|q122|q12|SINGLE|For your European strategy*, for which sector-strategy did your company raise institutional capital for non-listed vehicles in 2020?|22
_europe|_europe||||For your European strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by targeted multi-sector (million)?|23
q131_1_europe|_europe|q131_13|q131_1|CURRENCY|EUROPE: Main sectors - Non-listed/ commingled real estate funds/private REITs|23_1
q131_2_europe|_europe|q131_24|q131_2|CURRENCY|EUROPE: Main sectors - Separate accounts investing directly into real estate|23_2
q131_3_europe|_europe|q131_35|q131_3|CURRENCY|EUROPE: Main sectors - Separate accounts investing into indirect vehicles|23_3
q131_4_europe|_europe|q131_46|q131_4|CURRENCY|EUROPE: Main sectors - Joint ventures and club deals|23_4
q131_5_europe|_europe|q131_57|q131_5|CURRENCY|EUROPE: Main sectors - Funds of funds|23_5
q131_6_europe|_europe|q131_68|q131_6|CURRENCY|EUROPE: Main sectors - Non-listed debt products|23_6
q13ROW1_Total_europe|_europe|q13ROW1_Total9|q13ROW1_Total|CURRENCY|EUROPE: TOTAL - Main sectors |23_7
q132_1_europe|_europe|q132_110|q132_1|CURRENCY|EUROPE:  Alternative sectors - Non-listed/ commingled real estate funds/private REITs|23_8
q132_2_europe|_europe|q132_211|q132_2|CURRENCY|EUROPE:  Alternative sectors - Separate accounts investing directly into real estate|23_9
q132_3_europe|_europe|q132_312|q132_3|CURRENCY|EUROPE:  Alternative sectors - Separate accounts investing into indirect vehicles|23_10
q132_4_europe|_europe|q132_413|q132_4|CURRENCY|EUROPE:  Alternative sectors - Joint ventures and club deals|23_11
q132_5_europe|_europe|q132_514|q132_5|CURRENCY|EUROPE:  Alternative sectors - Funds of funds|23_12
q132_6_europe|_europe|q132_615|q132_6|CURRENCY|EUROPE:  Alternative sectors - Non-listed debt products|23_13
q13ROW2_Total_europe|_europe|q13ROW2_Total16|q13ROW2_Total|CURRENCY|EUROPE:  TOTAL - Alternative sectors|23_14
q13COL1_Total_europe|_europe|q13COL1_Total17|q13COL1_Total|CURRENCY|EUROPE: TOTAL - Non-listed/ commingled real estate funds/private REITs|23_15
q13COL2_Total_europe|_europe|q13COL2_Total18|q13COL2_Total|CURRENCY|EUROPE: TOTAL - Separate accounts investing directly into real estate|23_16
q13COL3_Total_europe|_europe|q13COL3_Total19|q13COL3_Total|CURRENCY|EUROPE: TOTAL - Separate accounts investing into indirect vehicles|23_17
q13COL4_Total_europe|_europe|q13COL4_Total20|q13COL4_Total|CURRENCY|EUROPE: TOTAL - Joint ventures and club deals|23_18
q13COL5_Total_europe|_europe|q13COL5_Total21|q13COL5_Total|CURRENCY|EUROPE: TOTAL - Funds of funds|23_19
q13COL6_Total_europe|_europe|q13COL6_Total22|q13COL6_Total|CURRENCY|EUROPE: TOTAL - Non-listed debt products|23_20
q13GRANDTotal_europe|_europe|q13GRANDTotal23|q13GRANDTotal|CURRENCY|EUROPE TOTAL Raised by targeted multi-sector|23_21
_europe|_europe||||For your European strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by targeted sector (million)?|24
q141_1_europe|_europe|q141_124|q141_1|CURRENCY|EUROPE: Office - Non-listed/ commingled real estate funds/private REITs|24_1
q141_2_europe|_europe|q141_225|q141_2|CURRENCY|EUROPE: Office - Separate accounts investing directly into real estate|24_2
q141_3_europe|_europe|q141_326|q141_3|CURRENCY|EUROPE: Office - Separate accounts investing into indirect vehicles|24_3
q141_4_europe|_europe|q141_427|q141_4|CURRENCY|EUROPE: Office - Joint ventures and club deals|24_4
q141_5_europe|_europe|q141_528|q141_5|CURRENCY|EUROPE: Office - Funds of funds|24_5
q141_6_europe|_europe|q141_629|q141_6|CURRENCY|EUROPE: Office - Non-listed debt products|24_6
q14ROW1_Total_europe|_europe|q14ROW1_Total30|q14ROW1_Total|CURRENCY|EUROPE: TOTAL Office|24_7
q142_1_europe|_europe|q142_131|q142_1|CURRENCY|EUROPE: Retail - Non-listed/ commingled real estate funds/private REITs|24_8
q142_2_europe|_europe|q142_232|q142_2|CURRENCY|EUROPE: Retail - Separate accounts investing directly into real estate|24_9
q142_3_europe|_europe|q142_333|q142_3|CURRENCY|EUROPE: Retail - Separate accounts investing into indirect vehicles|24_10
q142_4_europe|_europe|q142_434|q142_4|CURRENCY|EUROPE: Retail - Joint ventures and club deals|24_11
q142_5_europe|_europe|q142_535|q142_5|CURRENCY|EUROPE: Retail - Funds of funds|24_12
q142_6_europe|_europe|q142_636|q142_6|CURRENCY|Non-listed debt products|24_13
q14ROW2_Total_europe|_europe|q14ROW2_Total37|q14ROW2_Total|CURRENCY|EUROPE: TOTAL Retail|24_14
q143_1_europe|_europe|q143_138|q143_1|CURRENCY|EUROPE: Industrial / logistics - Non-listed/ commingled real estate funds/private REITs|24_15
q143_2_europe|_europe|q143_239|q143_2|CURRENCY|EUROPE: Industrial / logistics - Separate accounts investing directly into real estate|24_16
q143_3_europe|_europe|q143_340|q143_3|CURRENCY|EUROPE: Industrial / logistics - Separate accounts investing into indirect vehicles|24_17
q143_4_europe|_europe|q143_441|q143_4|CURRENCY|EUROPE: Industrial / logistics - Joint ventures and club deals|24_18
q143_5_europe|_europe|q143_542|q143_5|CURRENCY|EUROPE: Industrial / logistics - Funds of funds|24_19
q143_6_europe|_europe|q143_643|q143_6|CURRENCY|EUROPE: Industrial / logistics - Non-listed debt products|24_20
q14ROW3_Total_europe|_europe|q14ROW3_Total44|q14ROW3_Total|CURRENCY|EUROPE: TOTAL Industrial / logistics|24_21
q144_1_europe|_europe|q144_145|q144_1|CURRENCY|EUROPE: Residential / multi-family/apartments - Non-listed/ commingled real estate funds/private REITs|24_22
q144_2_europe|_europe|q144_246|q144_2|CURRENCY|EUROPE: Residential / multi-family/apartments - Separate accounts investing directly into real estate|24_23
q144_3_europe|_europe|q144_347|q144_3|CURRENCY|EUROPE: Residential / multi-family/apartments - Separate accounts investing into indirect vehicles|24_24
q144_4_europe|_europe|q144_448|q144_4|CURRENCY|EUROPE: Residential / multi-family/apartments - Joint ventures and club deals|24_25
q144_5_europe|_europe|q144_549|q144_5|CURRENCY|EUROPE: Residential / multi-family/apartments - Funds of funds|24_26
q144_6_europe|_europe|q144_650|q144_6|CURRENCY|EUROPE: Residential / multi-family/apartments - Non-listed debt products|24_27
q14ROW4_Total_europe|_europe|q14ROW4_Total51|q14ROW4_Total|CURRENCY|EUROPE: TOTAL Residential / multi-family/apartments|24_28
q145_1_europe|_europe|q145_152|q145_1|CURRENCY|EUROPE: Student housing - Non-listed/ commingled real estate funds/private REITs|24_29
q145_2_europe|_europe|q145_253|q145_2|CURRENCY|EUROPE: Student housing - Separate accounts investing directly into real estate|24_30
q145_3_europe|_europe|q145_354|q145_3|CURRENCY|EUROPE: Student housing - Separate accounts investing into indirect vehicles|24_31
q145_4_europe|_europe|q145_455|q145_4|CURRENCY|EUROPE: Student housing - Joint ventures and club deals|24_32
q145_5_europe|_europe|q145_556|q145_5|CURRENCY|EUROPE: Student housing - Funds of funds|24_33
q145_6_europe|_europe|q145_657|q145_6|CURRENCY|EUROPE: Student housing - Non-listed debt products|24_34
q14ROW5_Total_europe|_europe|q14ROW5_Total58|q14ROW5_Total|CURRENCY|EUROPE: TOTAL Student housing |24_35
q146_1_europe|_europe|q146_159|q146_1|CURRENCY|EUROPE: Senior living / aged care / health care - Non-listed/ commingled real estate funds/private REITs|24_36
q146_2_europe|_europe|q146_260|q146_2|CURRENCY|EUROPE: Senior living / aged care / health care - Separate accounts investing directly into real estate|24_37
q146_3_europe|_europe|q146_361|q146_3|CURRENCY|EUROPE: Senior living / aged care / health care - Separate accounts investing into indirect vehicles|24_38
q146_4_europe|_europe|q146_462|q146_4|CURRENCY|EUROPE: Senior living / aged care / health care - Joint ventures and club deals|24_39
q146_5_europe|_europe|q146_563|q146_5|CURRENCY|EUROPE: Senior living / aged care / health care - Funds of funds|24_40
q146_6_europe|_europe|q146_664|q146_6|CURRENCY|EUROPE: Senior living / aged care / health care - Non-listed debt products|24_41
q14ROW6_Total_europe|_europe|q14ROW6_Total65|q14ROW6_Total|CURRENCY|EUROPE: TOTAL Senior living / aged care / health care|24_42
q147_1_europe|_europe|q147_166|q147_1|CURRENCY|EUROPE: Hotel / leisure - Non-listed/ commingled real estate funds/private REITs|24_43
q147_2_europe|_europe|q147_267|q147_2|CURRENCY|EUROPE: Hotel / leisure - Separate accounts investing directly into real estate|24_44
q147_3_europe|_europe|q147_368|q147_3|CURRENCY|EUROPE: Hotel / leisure - Separate accounts investing into indirect vehicles|24_45
q147_4_europe|_europe|q147_469|q147_4|CURRENCY|EUROPE: Hotel / leisure - Joint ventures and club deals|24_46
q147_5_europe|_europe|q147_570|q147_5|CURRENCY|EUROPE: Hotel / leisure - Funds of funds|24_47
q147_6_europe|_europe|q147_671|q147_6|CURRENCY|EUROPE: Hotel / leisure - Non-listed debt products|24_48
q14ROW7_Total_europe|_europe|q14ROW7_Total72|q14ROW7_Total|CURRENCY|EUROPE: TOTAL Hotel / leisure|24_49
q148_1_europe|_europe|q148_173|q148_1|CURRENCY|EUROPE: Other (incl land, parking, self storage) - Non-listed/ commingled real estate funds/private REITs|24_50
q148_2_europe|_europe|q148_274|q148_2|CURRENCY|EUROPE: Other (incl land, parking, self storage) - Separate accounts investing directly into real estate|24_51
q148_3_europe|_europe|q148_375|q148_3|CURRENCY|EUROPE: Other (incl land, parking, self storage) - Separate accounts investing into indirect vehicles|24_52
q148_4_europe|_europe|q148_476|q148_4|CURRENCY|EUROPE: Other (incl land, parking, self storage) - Joint ventures and club deals|24_53
q148_5_europe|_europe|q148_577|q148_5|CURRENCY|EUROPE: Other (incl land, parking, self storage) - Funds of funds|24_54
q148_6_europe|_europe|q148_678|q148_6|CURRENCY|EUROPE: Other (incl land, parking, self storage) - Non-listed debt products|24_55
q14ROW8_Total_europe|_europe|q14ROW8_Total79|q14ROW8_Total|CURRENCY|EUROPE: TOTAL Other (incl land, parking, self storage)|24_56
q14COL1_Total_europe|_europe|q14COL1_Total80|q14COL1_Total|CURRENCY|EUROPE: TOTAL Non-listed/ commingled real estate funds/private REITs|24_57
q14COL2_Total_europe|_europe|q14COL2_Total81|q14COL2_Total|CURRENCY|EUROPE: TOTAL Separate accounts investing directly into real estate|24_58
q14COL3_Total_europe|_europe|q14COL3_Total82|q14COL3_Total|CURRENCY|EUROPE: TOTAL Separate accounts investing into indirect vehicles|24_59
q14COL4_Total_europe|_europe|q14COL4_Total83|q14COL4_Total|CURRENCY|EUROPE: TOTAL Joint ventures and club deals|24_60
q14COL5_Total_europe|_europe|q14COL5_Total84|q14COL5_Total|CURRENCY|EUROPE: TOTAL Funds of funds|24_61
q14COL6_Total_europe|_europe|q14COL6_Total85|q14COL6_Total|CURRENCY|EUROPE: TOTAL Non-listed debt products|24_62
q14GRANDTotal_europe|_europe|q14GRANDTotal86|q14GRANDTotal|CURRENCY|EUROPE: TOTAL Raised by targeted sector|24_63
qBothStrategyGRANDTotal_europe|_europe|qBothStrategyGRANDTotal87|qBothStrategyGRANDTotal|CURRENCY|Total Capital Raised in 2020 for your European strategy (Shown only when BOTH strategies selected in q12)|24_64
_europe|_europe||||For your European strategy*, how much institutional capital did your company raise for non-listed vehicles in 2020 by investment style (million)? |25
q151_1_europe|_europe|q151_188|q151_1|CURRENCY|EUROPE: Core / Senior debt - Non-listed/ commingled real estate funds/private REITs|25_1
q151_2_europe|_europe|q151_289|q151_2|CURRENCY|EUROPE: Core / Senior debt - Separate accounts investing directly into real estate|25_2
q151_3_europe|_europe|q151_390|q151_3|CURRENCY|EUROPE: Core / Senior debt - Separate accounts investing into indirect vehicles|25_3
q151_4_europe|_europe|q151_491|q151_4|CURRENCY|EUROPE: Core / Senior debt - Joint ventures and club deals|25_4
q151_5_europe|_europe|q151_592|q151_5|CURRENCY|EUROPE: Core / Senior debt - Funds of funds|25_5
q151_6_europe|_europe|q151_693|q151_6|CURRENCY|EUROPE: Core / Senior debt - Non-listed debt products|25_6
q15ROW1_Total_europe|_europe|q15ROW1_Total94|q15ROW1_Total|CURRENCY|EUROPE: TOTAL Core / Senior debt|25_7
q152_1_europe|_europe|q152_195|q152_1|CURRENCY|EUROPE: Value added / Junior and other subordinated debt - Non-listed/ commingled real estate funds/private REITs|25_8
q152_2_europe|_europe|q152_296|q152_2|CURRENCY|EUROPE: Value added / Junior and other subordinated debt - Separate accounts investing directly into real estate|25_9
q152_3_europe|_europe|q152_397|q152_3|CURRENCY|EUROPE: Value added / Junior and other subordinated debt - Separate accounts investing into indirect vehicles|25_10
q152_4_europe|_europe|q152_498|q152_4|CURRENCY|EUROPE: Value added / Junior and other subordinated debt - Joint ventures and club deals|25_11
q152_5_europe|_europe|q152_599|q152_5|CURRENCY|EUROPE: Value added / Junior and other subordinated debt - Funds of funds|25_12
q152_6_europe|_europe|q152_6100|q152_6|CURRENCY|EUROPE: Value added / Junior and other subordinated debt - Non-listed debt products|25_13
q15ROW2_Total_europe|_europe|q15ROW2_Total101|q15ROW2_Total|CURRENCY|EUROPE: TOTAL Value added / Junior and other subordinated debt|25_14
q153_1_europe|_europe|q153_1102|q153_1|CURRENCY|EUROPE: Opportunistic / Mezzanine debt - Non-listed/ commingled real estate funds/private REITs|25_15
q153_2_europe|_europe|q153_2103|q153_2|CURRENCY|EUROPE: Opportunistic / Mezzanine debt - Separate accounts investing directly into real estate|25_16
q153_3_europe|_europe|q153_3104|q153_3|CURRENCY|EUROPE: Opportunistic / Mezzanine debt - Separate accounts investing into indirect vehicles|25_17
q153_4_europe|_europe|q153_4105|q153_4|CURRENCY|EUROPE: Opportunistic / Mezzanine debt - Joint ventures and club deals|25_18
q153_5_europe|_europe|q153_5106|q153_5|CURRENCY|EUROPE: Opportunistic / Mezzanine debt - Funds of funds|25_19
q153_6_europe|_europe|q153_6107|q153_6|CURRENCY|EUROPE: Opportunistic / Mezzanine debt - Non-listed debt products|25_20
q15ROW3_Total_europe|_europe|q15ROW3_Total108|q15ROW3_Total|CURRENCY|EUROPE: TOTAL Opportunistic / Mezzanine debt|25_21
q154_1_europe|_europe|q154_1109|q154_1|CURRENCY|EUROPE: Mixed strategies - Non-listed/ commingled real estate funds/private REITs|25_22
q154_2_europe|_europe|q154_2110|q154_2|CURRENCY|EUROPE: Mixed strategies - Separate accounts investing directly into real estate|25_23
q154_3_europe|_europe|q154_3111|q154_3|CURRENCY|EUROPE: Mixed strategies - Separate accounts investing into indirect vehicles|25_24
q154_4_europe|_europe|q154_4112|q154_4|CURRENCY|EUROPE: Mixed strategies - Joint ventures and club deals|25_25
q154_5_europe|_europe|q154_5113|q154_5|CURRENCY|EUROPE: Mixed strategies - Funds of funds|25_26
q154_6_europe|_europe|q154_6114|q154_6|CURRENCY|EUROPE: Mixed strategies - Non-listed debt products|25_27
q15ROW4_Total_europe|_europe|q15ROW4_Total115|q15ROW4_Total|CURRENCY|EUROPE: TOTAL Mixed strategies|25_28
q15COL1_Total_europe|_europe|q15COL1_Total116|q15COL1_Total|CURRENCY|EUROPE: TOTAL Non-listed/ commingled real estate funds/private REITs|25_29
q15COL2_Total_europe|_europe|q15COL2_Total117|q15COL2_Total|CURRENCY|EUROPE: TOTAL Separate accounts investing directly into real estate|25_30
q15COL3_Total_europe|_europe|q15COL3_Total118|q15COL3_Total|CURRENCY|EUROPE: TOTAL Separate accounts investing into indirect vehicles|25_31
q15COL4_Total_europe|_europe|q15COL4_Total119|q15COL4_Total|CURRENCY|EUROPE: TOTAL Joint ventures and club deals|25_32
q15COL5_Total_europe|_europe|q15COL5_Total120|q15COL5_Total|CURRENCY|EUROPE: TOTAL Funds of funds|25_33
q15COL6_Total_europe|_europe|q15COL6_Total121|q15COL6_Total|CURRENCY|EUROPE: TOTAL Non-listed debt products|25_34
q15GRANDTotal_europe|_europe|q15GRANDTotal122|q15GRANDTotal|CURRENCY|EUROPE: Total Capital Raised in 2020 for your European strategy|25_35
NORTH AMERICA_northamerica|_northamerica|NORTH AMERICA|NORTH AMERICA|||
