Column|suffix|OriginalColumn|Format|QuestionText|dtcode
q107_1_apac|_apac|q107_1|CURRENCY|High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|14_43
q107_2_apac|_apac|q107_2|CURRENCY|High net worth individuals /Family offices - Separate accounts investing directly into real estate|14_44
q107_3_apac|_apac|q107_3|CURRENCY|High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|14_45
q107_4_apac|_apac|q107_4|CURRENCY|High net worth individuals /Family offices - Joint ventures and club deals|14_46
q107_5_apac|_apac|q107_5|CURRENCY|High net worth individuals /Family offices - Funds of funds|14_47
q107_6_apac|_apac|q107_6|CURRENCY|High net worth individuals /Family offices - Non-listed debt products|14_48
q10ROW7_hidden_apac|_apac|q10ROW7_hidden|CURRENCY|High net worth individuals /Family offices TOTAL|14_49
q10other_apac|_apac|q10other|CURRENCY|Other (please specify)|14_50
q108_1_apac|_apac|q108_1|CURRENCY|Other - Non-listed/ commingled real estate funds/private REITs|14_51
q108_2_apac|_apac|q108_2|CURRENCY|Other - Separate accounts investing directly into real estate|14_52
q108_3_apac|_apac|q108_3|CURRENCY|Other - Separate accounts investing into indirect vehicles|14_53
q108_4_apac|_apac|q108_4|CURRENCY|Other - Joint ventures and club deals|14_54
q108_5_apac|_apac|q108_5|CURRENCY|Other - Funds of funds|14_55
q108_6_apac|_apac|q108_6|CURRENCY|Other - Non-listed debt products|14_56
q10ROW8_hidden_apac|_apac|q10ROW8_hidden|CURRENCY|Other TOTAL|14_57
q10COL1_hidden_apac|_apac|q10COL1_hidden|CURRENCY|Non-listed/ commingled real estate funds/private REITs TOTAL|14_58
q10COL2_hidden_apac|_apac|q10COL2_hidden|CURRENCY|Separate accounts investing directly into real estate TOTAL|14_59
q10COL3_hidden_apac|_apac|q10COL3_hidden|CURRENCY|Separate accounts investing into indirect vehicles TOTAL|14_60
q10COL4_hidden_apac|_apac|q10COL4_hidden|CURRENCY|Joint ventures and club deals TOTAL|14_61
q10COL5_hidden_apac|_apac|q10COL5_hidden|CURRENCY|Funds of funds TOTAL|14_62
q10COL6_hidden_apac|_apac|q10COL6_hidden|CURRENCY|Non-listed debt products TOTAL|14_63
q10GRANDTotal_hidden_apac|_apac|q10GRANDTotal_hidden|CURRENCY|TOTAL institutional capital by investor type|14_64
_apac|_apac|||[Asia Pacific strategy] How much institutional capital did your company raise in 2017 by investor domicile (million)?|15
q111_1_apac|_apac|q111_1|CURRENCY|Europe - Non-listed/ commingled real estate funds/private REITs|15_1
q111_2_apac|_apac|q111_2|CURRENCY|Europe - Separate accounts investing directly into real estate|15_2
q111_3_apac|_apac|q111_3|CURRENCY|Europe - Separate accounts investing into indirect vehicles|15_3
q111_4_apac|_apac|q111_4|CURRENCY|Europe - Joint ventures and club deals|15_4
q111_5_apac|_apac|q111_5|CURRENCY|Europe - Funds of funds|15_5
q111_6_apac|_apac|q111_6|CURRENCY|Europe - Non-listed debt products|15_6
q11ROW1_hidden_apac|_apac|q11ROW1_hidden|CURRENCY|Europe TOTAL|15_7
q112_1_apac|_apac|q112_1|CURRENCY|Asia Pacific - Non-listed/ commingled real estate funds/private REITs|15_8
q112_2_apac|_apac|q112_2|CURRENCY|Asia Pacific - Separate accounts investing directly into real estate|15_9
q112_3_apac|_apac|q112_3|CURRENCY|Asia Pacific - Separate accounts investing into indirect vehicles|15_10
q112_4_apac|_apac|q112_4|CURRENCY|Asia Pacific - Joint ventures and club deals|15_11
q112_5_apac|_apac|q112_5|CURRENCY|Asia Pacific - Funds of funds|15_12
q112_6_apac|_apac|q112_6|CURRENCY|Asia Pacific - Non-listed debt products|15_13
q11ROW2_hidden_apac|_apac|q11ROW2_hidden|CURRENCY|Asia Pacific TOTAL|15_14
q113_1_apac|_apac|q113_1|CURRENCY|North America - Non-listed/ commingled real estate funds/private REITs|15_15
q113_2_apac|_apac|q113_2|CURRENCY|North America - Separate accounts investing directly into real estate|15_16
q113_3_apac|_apac|q113_3|CURRENCY|North America - Separate accounts investing into indirect vehicles|15_17
q113_4_apac|_apac|q113_4|CURRENCY|North America - Joint ventures and club deals|15_18
q113_5_apac|_apac|q113_5|CURRENCY|North America - Funds of funds|15_19
q113_6_apac|_apac|q113_6|CURRENCY|North America - Non-listed debt products|15_20
q11ROW3_hidden_apac|_apac|q11ROW3_hidden|CURRENCY|North America TOTAL|15_21
q114_1_apac|_apac|q114_1|CURRENCY|South America - Non-listed/ commingled real estate funds/private REITs|15_22
q114_2_apac|_apac|q114_2|CURRENCY|South America - Separate accounts investing directly into real estate|15_23
q114_3_apac|_apac|q114_3|CURRENCY|South America - Separate accounts investing into indirect vehicles|15_24
q114_4_apac|_apac|q114_4|CURRENCY|South America - Joint ventures and club deals|15_25
q114_5_apac|_apac|q114_5|CURRENCY|South America - Funds of funds|15_26
q114_6_apac|_apac|q114_6|CURRENCY|South America - Non-listed debt products|15_27
q11ROW4_hidden_apac|_apac|q11ROW4_hidden|CURRENCY|South America TOTAL|15_28
q115_1_apac|_apac|q115_1|CURRENCY|Africa - Non-listed/ commingled real estate funds/private REITs|15_29
q115_2_apac|_apac|q115_2|CURRENCY|Africa - Separate accounts investing directly into real estate|15_30
q115_3_apac|_apac|q115_3|CURRENCY|Africa - Separate accounts investing into indirect vehicles|15_31
q115_4_apac|_apac|q115_4|CURRENCY|Africa - Joint ventures and club deals|15_32
q115_5_apac|_apac|q115_5|CURRENCY|Africa - Funds of funds|15_33
q115_6_apac|_apac|q115_6|CURRENCY|Africa - Non-listed debt products|15_34
q11ROW5_hidden_apac|_apac|q11ROW5_hidden|CURRENCY|Africa  TOTAL|15_35
q11COL1_hidden_apac|_apac|q11COL1_hidden|CURRENCY|Non-listed/ commingled real estate funds/private REITs TOTAL|15_36
q11COL2_hidden_apac|_apac|q11COL2_hidden|CURRENCY|Separate accounts investing directly into real estate TOTAL|15_37
q11COL3_hidden_apac|_apac|q11COL3_hidden|CURRENCY|Separate accounts investing into indirect vehicles TOTAL|15_38
q11COL4_hidden_apac|_apac|q11COL4_hidden|CURRENCY|Joint ventures and club deals TOTAL|15_39
q11COL5_hidden_apac|_apac|q11COL5_hidden|CURRENCY|Funds of funds TOTAL|15_40
q11COL6_hidden_apac|_apac|q11COL6_hidden|CURRENCY|Non-listed debt products TOTAL|15_41
q11GRANDTotal_hidden_apac|_apac|q11GRANDTotal_hidden|CURRENCY|TOTAL institutional capital by investor domicle|15_42
EUROPE_europe|_europe|EUROPE||For your European strategy, how much institutional capital did your company raise for non-listed vehicles in 2017 by investor type (million)?|16
q101_1_europe|_europe|q101_1|CURRENCY|Pension funds - Non-listed/ commingled real estate funds/private REITs|16_1
q101_2_europe|_europe|q101_2|CURRENCY|Pension funds - Separate accounts investing directly into real estate|16_2
q101_3_europe|_europe|q101_3|CURRENCY|Pension funds - Separate accounts investing into indirect vehicles|16_3
q101_4_europe|_europe|q101_4|CURRENCY|Pension funds - Joint ventures and club deals|16_4
q101_5_europe|_europe|q101_5|CURRENCY|Pension funds - Funds of funds|16_5
q101_6_europe|_europe|q101_6|CURRENCY|Pension funds - Non-listed debt products|16_6
q10ROW1_hidden_europe|_europe|q10ROW1_hidden|CURRENCY|Pension funds TOTAL|16_7
q102_1_europe|_europe|q102_1|CURRENCY|Insurance companies - Non-listed/ commingled real estate funds/private REITs|16_8
q102_2_europe|_europe|q102_2|CURRENCY|Insurance companies - Separate accounts investing directly into real estate|16_9
q102_3_europe|_europe|q102_3|CURRENCY|Insurance companies - Separate accounts investing into indirect vehicles|16_10
q102_4_europe|_europe|q102_4|CURRENCY|Insurance companies - Joint ventures and club deals|16_11
q102_5_europe|_europe|q102_5|CURRENCY|Insurance companies - Funds of funds|16_12
q102_6_europe|_europe|q102_6|CURRENCY|Insurance companies - Non-listed debt products|16_13
q10ROW2_hidden_europe|_europe|q10ROW2_hidden|CURRENCY|Insurance companies TOTAL|16_14
q103_1_europe|_europe|q103_1|CURRENCY|Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|16_15
q103_2_europe|_europe|q103_2|CURRENCY|Sovereign wealth funds - Separate accounts investing directly into real estate|16_16
q103_3_europe|_europe|q103_3|CURRENCY|Sovereign wealth funds - Separate accounts investing into indirect vehicles|16_17
q103_4_europe|_europe|q103_4|CURRENCY|Sovereign wealth funds - Joint ventures and club deals|16_18
q103_5_europe|_europe|q103_5|CURRENCY|Sovereign wealth funds - Funds of funds|16_19
q103_6_europe|_europe|q103_6|CURRENCY|Sovereign wealth funds - Non-listed debt products|16_20
q10ROW3_hidden_europe|_europe|q10ROW3_hidden|CURRENCY|Sovereign wealth funds TOTAL|16_21
q104_1_europe|_europe|q104_1|CURRENCY|Government institutions - Non-listed/ commingled real estate funds/private REITs|16_22
q104_2_europe|_europe|q104_2|CURRENCY|Government institutions - Separate accounts investing directly into real estate|16_23
q104_3_europe|_europe|q104_3|CURRENCY|Government institutions - Separate accounts investing into indirect vehicles|16_24
q104_4_europe|_europe|q104_4|CURRENCY|Government institutions - Joint ventures and club deals|16_25
q104_5_europe|_europe|q104_5|CURRENCY|Government institutions - Funds of funds|16_26
q104_6_europe|_europe|q104_6|CURRENCY|Government institutions - Non-listed debt products|16_27
q10ROW4_hidden_europe|_europe|q10ROW4_hidden|CURRENCY|Government institutions TOTAL|16_28
q105_1_europe|_europe|q105_1|CURRENCY|Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|16_29
q105_2_europe|_europe|q105_2|CURRENCY|Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|16_30
q105_3_europe|_europe|q105_3|CURRENCY|Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|16_31
q105_4_europe|_europe|q105_4|CURRENCY|Charities, foundations, non-profit organisations - Joint ventures and club deals|16_32
q105_5_europe|_europe|q105_5|CURRENCY|Charities, foundations, non-profit organisations - Funds of funds|16_33
q105_6_europe|_europe|q105_6|CURRENCY|Charities, foundations, non-profit organisations - Non-listed debt products|16_34
q10ROW5_hidden_europe|_europe|q10ROW5_hidden|CURRENCY|Charities, foundations, non-profit organisations  TOTAL|16_35
q106_1_europe|_europe|q106_1|CURRENCY|Funds of funds - Non-listed/ commingled real estate funds/private REITs|16_36
q106_2_europe|_europe|q106_2|CURRENCY|Funds of funds - Separate accounts investing directly into real estate|16_37
q106_3_europe|_europe|q106_3|CURRENCY|Funds of funds - Separate accounts investing into indirect vehicles|16_38
q106_4_europe|_europe|q106_4|CURRENCY|Funds of funds - Joint ventures and club deals|16_39
q106_5_europe|_europe|q106_5|CURRENCY|Funds of funds - Funds of funds|16_40
q106_6_europe|_europe|q106_6|CURRENCY|Funds of funds - Non-listed debt products|16_41
q10ROW6_hidden_europe|_europe|q10ROW6_hidden|CURRENCY|Funds of funds TOTAL|16_42
q107_1_europe|_europe|q107_1|CURRENCY|High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|16_43
q107_2_europe|_europe|q107_2|CURRENCY|High net worth individuals /Family offices - Separate accounts investing directly into real estate|16_44
q107_3_europe|_europe|q107_3|CURRENCY|High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|16_45
q107_4_europe|_europe|q107_4|CURRENCY|High net worth individuals /Family offices - Joint ventures and club deals|16_46
q107_5_europe|_europe|q107_5|CURRENCY|High net worth individuals /Family offices - Funds of funds|16_47
q107_6_europe|_europe|q107_6|CURRENCY|High net worth individuals /Family offices - Non-listed debt products|16_48
q10ROW7_hidden_europe|_europe|q10ROW7_hidden|CURRENCY|High net worth individuals /Family offices TOTAL|16_49
q10other_europe|_europe|q10other|CURRENCY|Other (please specify)|16_50
q108_1_europe|_europe|q108_1|CURRENCY|Other - Non-listed/ commingled real estate funds/private REITs|16_51
q108_2_europe|_europe|q108_2|CURRENCY|Other - Separate accounts investing directly into real estate|16_52
q108_3_europe|_europe|q108_3|CURRENCY|Other - Separate accounts investing into indirect vehicles|16_53
q108_4_europe|_europe|q108_4|CURRENCY|Other - Joint ventures and club deals|16_54
q108_5_europe|_europe|q108_5|CURRENCY|Other - Funds of funds|16_55
q108_6_europe|_europe|q108_6|CURRENCY|Other - Non-listed debt products|16_56
q10ROW8_hidden_europe|_europe|q10ROW8_hidden|CURRENCY|Other TOTAL|16_57
q10COL1_hidden_europe|_europe|q10COL1_hidden|CURRENCY|Non-listed/ commingled real estate funds/private REITs TOTAL|16_58
q10COL2_hidden_europe|_europe|q10COL2_hidden|CURRENCY|Separate accounts investing directly into real estate TOTAL|16_59
q10COL3_hidden_europe|_europe|q10COL3_hidden|CURRENCY|Separate accounts investing into indirect vehicles TOTAL|16_60
q10COL4_hidden_europe|_europe|q10COL4_hidden|CURRENCY|Joint ventures and club deals TOTAL|16_61
q10COL5_hidden_europe|_europe|q10COL5_hidden|CURRENCY|Funds of funds TOTAL|16_62
q10COL6_hidden_europe|_europe|q10COL6_hidden|CURRENCY|Non-listed debt products TOTAL|16_63
q10GRANDTotal_hidden_europe|_europe|q10GRANDTotal_hidden|CURRENCY|TOTAL institutional capital by investor type|16_64
_europe|_europe|||[European strategy] How much institutional capital did your company raise in 2017 by investor domicile (million)?|17
q111_1_europe|_europe|q111_1|CURRENCY|Europe - Non-listed/ commingled real estate funds/private REITs|17_1
q111_2_europe|_europe|q111_2|CURRENCY|Europe - Separate accounts investing directly into real estate|17_2
q111_3_europe|_europe|q111_3|CURRENCY|Europe - Separate accounts investing into indirect vehicles|17_3
q111_4_europe|_europe|q111_4|CURRENCY|Europe - Joint ventures and club deals|17_4
q111_5_europe|_europe|q111_5|CURRENCY|Europe - Funds of funds|17_5
q111_6_europe|_europe|q111_6|CURRENCY|Europe - Non-listed debt products|17_6
q11ROW1_hidden_europe|_europe|q11ROW1_hidden|CURRENCY|Europe TOTAL|17_7
q112_1_europe|_europe|q112_1|CURRENCY|Asia Pacific - Non-listed/ commingled real estate funds/private REITs|17_8
q112_2_europe|_europe|q112_2|CURRENCY|Asia Pacific - Separate accounts investing directly into real estate|17_9
q112_3_europe|_europe|q112_3|CURRENCY|Asia Pacific - Separate accounts investing into indirect vehicles|17_10
q112_4_europe|_europe|q112_4|CURRENCY|Asia Pacific - Joint ventures and club deals|17_11
q112_5_europe|_europe|q112_5|CURRENCY|Asia Pacific - Funds of funds|17_12
q112_6_europe|_europe|q112_6|CURRENCY|Asia Pacific - Non-listed debt products|17_13
q11ROW2_hidden_europe|_europe|q11ROW2_hidden|CURRENCY|Asia Pacific TOTAL|17_14
q113_1_europe|_europe|q113_1|CURRENCY|North America - Non-listed/ commingled real estate funds/private REITs|17_15
q113_2_europe|_europe|q113_2|CURRENCY|North America - Separate accounts investing directly into real estate|17_16
q113_3_europe|_europe|q113_3|CURRENCY|North America - Separate accounts investing into indirect vehicles|17_17
q113_4_europe|_europe|q113_4|CURRENCY|North America - Joint ventures and club deals|17_18
q113_5_europe|_europe|q113_5|CURRENCY|North America - Funds of funds|17_19
q113_6_europe|_europe|q113_6|CURRENCY|North America - Non-listed debt products|17_20
q11ROW3_hidden_europe|_europe|q11ROW3_hidden|CURRENCY|North America TOTAL|17_21
q114_1_europe|_europe|q114_1|CURRENCY|South America - Non-listed/ commingled real estate funds/private REITs|17_22
q114_2_europe|_europe|q114_2|CURRENCY|South America - Separate accounts investing directly into real estate|17_23
q114_3_europe|_europe|q114_3|CURRENCY|South America - Separate accounts investing into indirect vehicles|17_24
q114_4_europe|_europe|q114_4|CURRENCY|South America - Joint ventures and club deals|17_25
q114_5_europe|_europe|q114_5|CURRENCY|South America - Funds of funds|17_26
q114_6_europe|_europe|q114_6|CURRENCY|South America - Non-listed debt products|17_27
q11ROW4_hidden_europe|_europe|q11ROW4_hidden|CURRENCY|South America TOTAL|17_28
q115_1_europe|_europe|q115_1|CURRENCY|Africa - Non-listed/ commingled real estate funds/private REITs|17_29
q115_2_europe|_europe|q115_2|CURRENCY|Africa - Separate accounts investing directly into real estate|17_30
q115_3_europe|_europe|q115_3|CURRENCY|Africa - Separate accounts investing into indirect vehicles|17_31
q115_4_europe|_europe|q115_4|CURRENCY|Africa - Joint ventures and club deals|17_32
q115_5_europe|_europe|q115_5|CURRENCY|Africa - Funds of funds|17_33
q115_6_europe|_europe|q115_6|CURRENCY|Africa - Non-listed debt products|17_34
q11ROW5_hidden_europe|_europe|q11ROW5_hidden|CURRENCY|Africa  TOTAL|17_35
q11COL1_hidden_europe|_europe|q11COL1_hidden|CURRENCY|Non-listed/ commingled real estate funds/private REITs TOTAL|17_36
q11COL2_hidden_europe|_europe|q11COL2_hidden|CURRENCY|Separate accounts investing directly into real estate TOTAL|17_37
q11COL3_hidden_europe|_europe|q11COL3_hidden|CURRENCY|Separate accounts investing into indirect vehicles TOTAL|17_38
q11COL4_hidden_europe|_europe|q11COL4_hidden|CURRENCY|Joint ventures and club deals TOTAL|17_39
q11COL5_hidden_europe|_europe|q11COL5_hidden|CURRENCY|Funds of funds TOTAL|17_40
q11COL6_hidden_europe|_europe|q11COL6_hidden|CURRENCY|Non-listed debt products TOTAL|17_41
q11GRANDTotal_hidden_europe|_europe|q11GRANDTotal_hidden|CURRENCY|TOTAL institutional capital by investor domicle|17_42
NORTH AMERICA_northafrica|_northafrica|NORTH AMERICA||For your North American strategy, how much institutional capital did your company raise for non-listed vehicles in 2017 by investor type (million)?|18
q101_1_northafrica|_northafrica|q101_1|CURRENCY|Pension funds - Non-listed/ commingled real estate funds/private REITs|18_1
q101_2_northafrica|_northafrica|q101_2|CURRENCY|Pension funds - Separate accounts investing directly into real estate|18_2
q101_3_northafrica|_northafrica|q101_3|CURRENCY|Pension funds - Separate accounts investing into indirect vehicles|18_3
q101_4_northafrica|_northafrica|q101_4|CURRENCY|Pension funds - Joint ventures and club deals|18_4
q101_5_northafrica|_northafrica|q101_5|CURRENCY|Pension funds - Funds of funds|18_5
q101_6_northafrica|_northafrica|q101_6|CURRENCY|Pension funds - Non-listed debt products|18_6
q10ROW1_hidden_northafrica|_northafrica|q10ROW1_hidden|CURRENCY|Pension funds TOTAL|18_7
q102_1_northafrica|_northafrica|q102_1|CURRENCY|Insurance companies - Non-listed/ commingled real estate funds/private REITs|18_8
q102_2_northafrica|_northafrica|q102_2|CURRENCY|Insurance companies - Separate accounts investing directly into real estate|18_9
q102_3_northafrica|_northafrica|q102_3|CURRENCY|Insurance companies - Separate accounts investing into indirect vehicles|18_10
q102_4_northafrica|_northafrica|q102_4|CURRENCY|Insurance companies - Joint ventures and club deals|18_11
q102_5_northafrica|_northafrica|q102_5|CURRENCY|Insurance companies - Funds of funds|18_12
q102_6_northafrica|_northafrica|q102_6|CURRENCY|Insurance companies - Non-listed debt products|18_13
q10ROW2_hidden_northafrica|_northafrica|q10ROW2_hidden|CURRENCY|Insurance companies TOTAL|18_14
q103_1_northafrica|_northafrica|q103_1|CURRENCY|Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|18_15
q103_2_northafrica|_northafrica|q103_2|CURRENCY|Sovereign wealth funds - Separate accounts investing directly into real estate|18_16
q103_3_northafrica|_northafrica|q103_3|CURRENCY|Sovereign wealth funds - Separate accounts investing into indirect vehicles|18_17
q103_4_northafrica|_northafrica|q103_4|CURRENCY|Sovereign wealth funds - Joint ventures and club deals|18_18
q103_5_northafrica|_northafrica|q103_5|CURRENCY|Sovereign wealth funds - Funds of funds|18_19
q103_6_northafrica|_northafrica|q103_6|CURRENCY|Sovereign wealth funds - Non-listed debt products|18_20
q10ROW3_hidden_northafrica|_northafrica|q10ROW3_hidden|CURRENCY|Sovereign wealth funds TOTAL|18_21
q104_1_northafrica|_northafrica|q104_1|CURRENCY|Government institutions - Non-listed/ commingled real estate funds/private REITs|18_22
q104_2_northafrica|_northafrica|q104_2|CURRENCY|Government institutions - Separate accounts investing directly into real estate|18_23
q104_3_northafrica|_northafrica|q104_3|CURRENCY|Government institutions - Separate accounts investing into indirect vehicles|18_24
q104_4_northafrica|_northafrica|q104_4|CURRENCY|Government institutions - Joint ventures and club deals|18_25
q104_5_northafrica|_northafrica|q104_5|CURRENCY|Government institutions - Funds of funds|18_26
q104_6_northafrica|_northafrica|q104_6|CURRENCY|Government institutions - Non-listed debt products|18_27
q10ROW4_hidden_northafrica|_northafrica|q10ROW4_hidden|CURRENCY|Government institutions TOTAL|18_28
q105_1_northafrica|_northafrica|q105_1|CURRENCY|Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|18_29
q105_2_northafrica|_northafrica|q105_2|CURRENCY|Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|18_30
q105_3_northafrica|_northafrica|q105_3|CURRENCY|Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|18_31
q105_4_northafrica|_northafrica|q105_4|CURRENCY|Charities, foundations, non-profit organisations - Joint ventures and club deals|18_32
q105_5_northafrica|_northafrica|q105_5|CURRENCY|Charities, foundations, non-profit organisations - Funds of funds|18_33
q105_6_northafrica|_northafrica|q105_6|CURRENCY|Charities, foundations, non-profit organisations - Non-listed debt products|18_34
q10ROW5_hidden_northafrica|_northafrica|q10ROW5_hidden|CURRENCY|Charities, foundations, non-profit organisations  TOTAL|18_35
q106_1_northafrica|_northafrica|q106_1|CURRENCY|Funds of funds - Non-listed/ commingled real estate funds/private REITs|18_36
q106_2_northafrica|_northafrica|q106_2|CURRENCY|Funds of funds - Separate accounts investing directly into real estate|18_37
q106_3_northafrica|_northafrica|q106_3|CURRENCY|Funds of funds - Separate accounts investing into indirect vehicles|18_38
q106_4_northafrica|_northafrica|q106_4|CURRENCY|Funds of funds - Joint ventures and club deals|18_39
q106_5_northafrica|_northafrica|q106_5|CURRENCY|Funds of funds - Funds of funds|18_40
q106_6_northafrica|_northafrica|q106_6|CURRENCY|Funds of funds - Non-listed debt products|18_41
q10ROW6_hidden_northafrica|_northafrica|q10ROW6_hidden|CURRENCY|Funds of funds TOTAL|18_42
q107_1_northafrica|_northafrica|q107_1|CURRENCY|High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|18_43
q107_2_northafrica|_northafrica|q107_2|CURRENCY|High net worth individuals /Family offices - Separate accounts investing directly into real estate|18_44
q107_3_northafrica|_northafrica|q107_3|CURRENCY|High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|18_45
q107_4_northafrica|_northafrica|q107_4|CURRENCY|High net worth individuals /Family offices - Joint ventures and club deals|18_46
q107_5_northafrica|_northafrica|q107_5|CURRENCY|High net worth individuals /Family offices - Funds of funds|18_47
q107_6_northafrica|_northafrica|q107_6|CURRENCY|High net worth individuals /Family offices - Non-listed debt products|18_48
q10ROW7_hidden_northafrica|_northafrica|q10ROW7_hidden|CURRENCY|High net worth individuals /Family offices TOTAL|18_49
q10other_northafrica|_northafrica|q10other|CURRENCY|Other (please specify)|18_50
q108_1_northafrica|_northafrica|q108_1|CURRENCY|Other - Non-listed/ commingled real estate funds/private REITs|18_51
q108_2_northafrica|_northafrica|q108_2|CURRENCY|Other - Separate accounts investing directly into real estate|18_52
q108_3_northafrica|_northafrica|q108_3|CURRENCY|Other - Separate accounts investing into indirect vehicles|18_53
q108_4_northafrica|_northafrica|q108_4|CURRENCY|Other - Joint ventures and club deals|18_54
q108_5_northafrica|_northafrica|q108_5|CURRENCY|Other - Funds of funds|18_55
q108_6_northafrica|_northafrica|q108_6|CURRENCY|Other - Non-listed debt products|18_56
q10ROW8_hidden_northafrica|_northafrica|q10ROW8_hidden|CURRENCY|Other TOTAL|18_57
q10COL1_hidden_northafrica|_northafrica|q10COL1_hidden|CURRENCY|Non-listed/ commingled real estate funds/private REITs TOTAL|18_58
q10COL2_hidden_northafrica|_northafrica|q10COL2_hidden|CURRENCY|Separate accounts investing directly into real estate TOTAL|18_59
q10COL3_hidden_northafrica|_northafrica|q10COL3_hidden|CURRENCY|Separate accounts investing into indirect vehicles TOTAL|18_60
q10COL4_hidden_northafrica|_northafrica|q10COL4_hidden|CURRENCY|Joint ventures and club deals TOTAL|18_61
q10COL5_hidden_northafrica|_northafrica|q10COL5_hidden|CURRENCY|Funds of funds TOTAL|18_62
q10COL6_hidden_northafrica|_northafrica|q10COL6_hidden|CURRENCY|Non-listed debt products TOTAL|18_63
q10GRANDTotal_hidden_northafrica|_northafrica|q10GRANDTotal_hidden|CURRENCY|TOTAL institutional capital by investor type|18_64
_northafrica|_northafrica|||[North American strategy] How much institutional capital did your company raise in 2017 by investor domicile (million)?|19
q111_1_northafrica|_northafrica|q111_1|CURRENCY|Europe - Non-listed/ commingled real estate funds/private REITs|19_1
q111_2_northafrica|_northafrica|q111_2|CURRENCY|Europe - Separate accounts investing directly into real estate|19_2
q111_3_northafrica|_northafrica|q111_3|CURRENCY|Europe - Separate accounts investing into indirect vehicles|19_3
q111_4_northafrica|_northafrica|q111_4|CURRENCY|Europe - Joint ventures and club deals|19_4
q111_5_northafrica|_northafrica|q111_5|CURRENCY|Europe - Funds of funds|19_5
q111_6_northafrica|_northafrica|q111_6|CURRENCY|Europe - Non-listed debt products|19_6
q11ROW1_hidden_northafrica|_northafrica|q11ROW1_hidden|CURRENCY|Europe TOTAL|19_7
q112_1_northafrica|_northafrica|q112_1|CURRENCY|Asia Pacific - Non-listed/ commingled real estate funds/private REITs|19_8
q112_2_northafrica|_northafrica|q112_2|CURRENCY|Asia Pacific - Separate accounts investing directly into real estate|19_9
q112_3_northafrica|_northafrica|q112_3|CURRENCY|Asia Pacific - Separate accounts investing into indirect vehicles|19_10
q112_4_northafrica|_northafrica|q112_4|CURRENCY|Asia Pacific - Joint ventures and club deals|19_11
q112_5_northafrica|_northafrica|q112_5|CURRENCY|Asia Pacific - Funds of funds|19_12
q112_6_northafrica|_northafrica|q112_6|CURRENCY|Asia Pacific - Non-listed debt products|19_13
q11ROW2_hidden_northafrica|_northafrica|q11ROW2_hidden|CURRENCY|Asia Pacific TOTAL|19_14
q113_1_northafrica|_northafrica|q113_1|CURRENCY|North America - Non-listed/ commingled real estate funds/private REITs|19_15
q113_2_northafrica|_northafrica|q113_2|CURRENCY|North America - Separate accounts investing directly into real estate|19_16
q113_3_northafrica|_northafrica|q113_3|CURRENCY|North America - Separate accounts investing into indirect vehicles|19_17
q113_4_northafrica|_northafrica|q113_4|CURRENCY|North America - Joint ventures and club deals|19_18
q113_5_northafrica|_northafrica|q113_5|CURRENCY|North America - Funds of funds|19_19
q113_6_northafrica|_northafrica|q113_6|CURRENCY|North America - Non-listed debt products|19_20
q11ROW3_hidden_northafrica|_northafrica|q11ROW3_hidden|CURRENCY|North America TOTAL|19_21
q114_1_northafrica|_northafrica|q114_1|CURRENCY|South America - Non-listed/ commingled real estate funds/private REITs|19_22
q114_2_northafrica|_northafrica|q114_2|CURRENCY|South America - Separate accounts investing directly into real estate|19_23
q114_3_northafrica|_northafrica|q114_3|CURRENCY|South America - Separate accounts investing into indirect vehicles|19_24
q114_4_northafrica|_northafrica|q114_4|CURRENCY|South America - Joint ventures and club deals|19_25
q114_5_northafrica|_northafrica|q114_5|CURRENCY|South America - Funds of funds|19_26
q114_6_northafrica|_northafrica|q114_6|CURRENCY|South America - Non-listed debt products|19_27
q11ROW4_hidden_northafrica|_northafrica|q11ROW4_hidden|CURRENCY|South America TOTAL|19_28
q115_1_northafrica|_northafrica|q115_1|CURRENCY|Africa - Non-listed/ commingled real estate funds/private REITs|19_29
q115_2_northafrica|_northafrica|q115_2|CURRENCY|Africa - Separate accounts investing directly into real estate|19_30
q115_3_northafrica|_northafrica|q115_3|CURRENCY|Africa - Separate accounts investing into indirect vehicles|19_31
q115_4_northafrica|_northafrica|q115_4|CURRENCY|Africa - Joint ventures and club deals|19_32
q115_5_northafrica|_northafrica|q115_5|CURRENCY|Africa - Funds of funds|19_33
q115_6_northafrica|_northafrica|q115_6|CURRENCY|Africa - Non-listed debt products|19_34
